name,description,overrides
dynamic-breakout-regime-strict-ny-runner-base,Strict NY breakout with split core runner conservative risk,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=4\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpBreakoutRunnerEnabled=true\nInpBreakoutRunnerCoreRiskShare=0.60\nInpBreakoutRunnerCoreRR=1.5\nInpBreakoutRunnerRR=0.0\nInpBreakoutRunnerBETriggerR=1.0\nInpBreakoutRunnerTrailStartR=1.5\nInpBreakoutRunnerTrailAtrMult=2.0\nInpBreakoutRunnerMaxHoldHours=12\nInpDdStopAtPct=20.0\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-ny-runner-growth-050,Strict NY breakout runner growth risk 0.50,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.50\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=4\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpBreakoutRunnerEnabled=true\nInpBreakoutRunnerCoreRiskShare=0.60\nInpBreakoutRunnerCoreRR=1.5\nInpBreakoutRunnerRR=0.0\nInpBreakoutRunnerBETriggerR=1.0\nInpBreakoutRunnerTrailStartR=1.5\nInpBreakoutRunnerTrailAtrMult=2.0\nInpBreakoutRunnerMaxHoldHours=12\nInpDdStopAtPct=30.0\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-ny-runner-growth-075,Strict NY breakout runner growth risk 0.75,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.75\nInpMaxDailyLossPct=4.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=4\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpBreakoutRunnerEnabled=true\nInpBreakoutRunnerCoreRiskShare=0.60\nInpBreakoutRunnerCoreRR=1.5\nInpBreakoutRunnerRR=0.0\nInpBreakoutRunnerBETriggerR=1.0\nInpBreakoutRunnerTrailStartR=1.5\nInpBreakoutRunnerTrailAtrMult=2.0\nInpBreakoutRunnerMaxHoldHours=12\nInpDdStopAtPct=30.0\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-ny-runner-trend-050,Strict NY breakout runner trend hold risk 0.50,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.50\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=4\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpBreakoutRunnerEnabled=true\nInpBreakoutRunnerCoreRiskShare=0.50\nInpBreakoutRunnerCoreRR=1.5\nInpBreakoutRunnerRR=0.0\nInpBreakoutRunnerBETriggerR=1.0\nInpBreakoutRunnerTrailStartR=1.5\nInpBreakoutRunnerTrailAtrMult=3.0\nInpBreakoutRunnerMaxHoldHours=24\nInpDdStopAtPct=30.0\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-ny-runner-aggressive-100,Strict NY breakout runner aggressive risk 1.00,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=1.00\nInpMaxDailyLossPct=5.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=4\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpBreakoutRunnerEnabled=true\nInpBreakoutRunnerCoreRiskShare=0.40\nInpBreakoutRunnerCoreRR=1.5\nInpBreakoutRunnerRR=0.0\nInpBreakoutRunnerBETriggerR=1.0\nInpBreakoutRunnerTrailStartR=1.5\nInpBreakoutRunnerTrailAtrMult=2.0\nInpBreakoutRunnerMaxHoldHours=12\nInpDdStopAtPct=30.0\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-strict-ny-100-wide,Strict NY breakout 100 trade controlled wider regime filters,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=16.0\nInpBreakoutAdxMax=40.0\nInpBreakoutRangeAtrMin=0.10\nInpBreakoutRangeAtrMax=0.65\nInpBreakoutPriorDayAtrMax=2.1\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-strict-ny-100-both,Strict NY breakout 100 trade both breakout directions allowed,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=false\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-strict-ny-100-fill,Strict NY breakout 100 trade tighter buffers and longer fill window,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1\nInpLondonEndHour=15\nInpBreakoutBuffer=0.5
dynamic-breakout-strict-ny-100-combo,Strict NY breakout 100 trade combo wide both direction and fill improvements,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=false\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=16.0\nInpBreakoutAdxMax=40.0\nInpBreakoutRangeAtrMin=0.10\nInpBreakoutRangeAtrMax=0.65\nInpBreakoutPriorDayAtrMax=2.1\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1\nInpLondonEndHour=15\nInpBreakoutBuffer=0.5
dynamic-breakout-strict-ny-100-runner-v2,Strict NY breakout 100 trade combo with Runner V2 profit lock protection,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=4\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=false\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=16.0\nInpBreakoutAdxMax=40.0\nInpBreakoutRangeAtrMin=0.10\nInpBreakoutRangeAtrMax=0.65\nInpBreakoutPriorDayAtrMax=2.1\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1\nInpLondonEndHour=15\nInpBreakoutBuffer=0.5\nInpBreakoutRunnerEnabled=true\nInpBreakoutRunnerCoreRiskShare=0.80\nInpBreakoutRunnerCoreRR=1.5\nInpBreakoutRunnerRR=4.0\nInpBreakoutRunnerBETriggerR=0.75\nInpBreakoutRunnerTrailStartR=1.5\nInpBreakoutRunnerTrailAtrMult=2.0\nInpBreakoutRunnerMaxHoldHours=12\nInpBreakoutRunnerProfitLock=true\nInpBreakoutRunnerMfeTrailStartR=1.5\nInpBreakoutRunnerMfeLockPct=0.65\nInpBreakoutRunnerMinLockedR=0.50\nInpDdStopAtPct=25.0\nInpDdClosePositionsOnStop=true\nInpDdCloseRunnerOnly=true
